Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000165091	TMC1	"DFNA36, DFNB11, DFNB7"	"Transmembrane channel like 1"	Q8TDI8	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000141524	TMC6	"EVER1, EVIN1, LAK-4P"	"Transmembrane channel like 6"	Q7Z403	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000167895	TMC8	"EVER2, EVIN2"	"Transmembrane channel like 8"	Q8IU68	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000143183	TMCO1	"HP10122, TMCC4"	"Transmembrane and coiled-coil domains 1"	Q9UM00	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000106460	TMEM106B	"FLJ11273, MGC33727"	"Transmembrane protein 106B"	Q9NUM4	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000134851	TMEM165	"GDT1, TMPT27, TPARL"	"Transmembrane protein 165"	Q9HC07	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000127419	TMEM175	MGC4618	"Transmembrane protein 175"	Q9BSA9	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000244045	TMEM199	"C17orf32, MGC45714, VMA12, VPH2"	"Transmembrane protein 199"	Q8N511	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000095209	TMEM38B	"bA219P18.1, C9orf87, D4Ertd89e, FLJ10493, TRIC-B"	"Transmembrane protein 38B"	Q9NVV0	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000164953	TMEM67	"JBTS6, MGC26979, MKS3, NPHP11"	"Transmembrane protein 67"	Q5HYA8	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000175606	TMEM70	FLJ20533	"Transmembrane protein 70"	Q9BUB7	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000181585	TMIE	DFNB6	"Transmembrane inner ear"	Q8NEW7	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000185973	TMLHE	"BBOX2, FLJ10727, TMLH, XAP130"	"Trimethyllysine hydroxylase, epsilon"	Q9NVH6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000154646	TMPRSS15	"ENTK, MGC133046, PRSS7"	"Transmembrane serine protease 15"	P98073	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000160183	TMPRSS3	"DFNB10, DFNB8"	"Transmembrane serine protease 3"	P57727	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000166682	TMPRSS5	"MGC141886, MGC148044"	"Transmembrane serine protease 5"	Q9H3S3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000187045	TMPRSS6	FLJ30744	"Transmembrane serine protease 6"	Q8IU80	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000139324	TMTC3	"FLJ90492, SMILE"	"Transmembrane and tetratricopeptide repeat containing 3"	Q6ZXV5	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000118503	TNFAIP3	"A20, OTUD7C"	"TNF alpha induced protein 3"	P21580	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000154310	TNIK	KIAA0551	"TRAF2 and NCK interacting kinase"	Q9UKE5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116783	TNNI3K	CARK	"TNNI3 interacting kinase"	Q59H18	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000197579	TOPORS	"LUN, RP31, TP53BPL"	"TOP1 binding arginine/serine rich protein"	Q9NS56	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000141510	TP53	"LFS1, p53"	"Tumor protein p53"	P04637	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors, Transporters"
ENSG00000172315	TP53RK	"BUD32, C20orf64, dJ101A2.2, Nori-2p, prpk"	"TP53 regulating kinase"	Q96S44	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000111669	TPI1		"Triosephosphate isomerase 1"	P60174	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000166340	TPP1	"CLN2, SCAR7"	"Tripeptidyl peptidase 1"	O14773	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000047410	TPR		"Translocated promoter region, nuclear basket protein"	P12270	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000131323	TRAF3	"CAP-1, CD40bp, CRAF1, LAP1, RNF118"	"TNF receptor associated factor 3"	Q13114	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000183763	TRAIP	"RNF206, TRIP"	"TRAF interacting protein"	Q9BWF2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000186439	TRDN		Triadin	Q13061	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000118094	TREH	"MGC129621, TRE, TREA"	Trehalase	O43280	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000213689	TREX1	"AGS1, DRN3"	"Three prime repair exonuclease 1"	Q9NSU2	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000109654	TRIM2	"CMT2R, KIAA0517, RNF86"	"Tripartite motif containing 2"	Q9C040	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000122779	TRIM24	"hTIF1, RNF82, TIF1, Tif1a"	"Tripartite motif containing 24"	O15164	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000204713	TRIM27	"RFP, RNF76"	"Tripartite motif containing 27"	P14373	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000119401	TRIM32	"BBS11, HT2A, LGMD2H, TATIP"	"Tripartite motif containing 32"	Q13049	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000197323	TRIM33	"FLJ11429, KIAA1113, PTC7, RFG7, TF1G, TIF1G, TIF1GAMMA, TIFGAMMA"	"Tripartite motif containing 33"	Q9UPN9	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000152503	TRIM36	"HAPRIN, RBCC728, RNF98"	"Tripartite motif containing 36"	Q9NQ86	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000108395	TRIM37	"KIAA0898, MUL, POB1, TEF3"	"Tripartite motif containing 37"	O94972	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000038382	TRIO	ARHGEF23	"Trio Rho guanine nucleotide exchange factor"	O75962	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000145331	TRMT10A	"MGC27034, RG9MTD2, TRM10"	"TRNA methyltransferase 10A"	Q8TBZ6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000174173	TRMT10C	"FLJ20432, MRPP1, RG9MTD1"	"TRNA methyltransferase 10C, mitochondrial RNase P subunit"	Q7L0Y3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000126814	TRMT5	"KIAA1393, TRM5"	"TRNA methyltransferase 5"	Q32P41	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100416	TRMU	"FLJ10140, MTO2, TRMT"	"TRNA 5-methylaminomethyl-2-thiouridylate methyltransferase"	O75648	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000072756	TRNT1	"CCA1, CGI-47, MtCCA"	"TRNA nucleotidyl transferase 1"	Q96Q11	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000138741	TRPC3		"Transient receptor potential cation channel subfamily C member 3"	Q13507	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000137672	TRPC6	"FSGS2, TRP6"	"Transient receptor potential cation channel subfamily C member 6"	Q9Y210	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000134160	TRPM1	"CSNB1C, LTRPC1, MLSN1"	"Transient receptor potential cation channel subfamily M member 1"	Q7Z4N2	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"
ENSG00000130529	TRPM4	FLJ20041	"Transient receptor potential cation channel subfamily M member 4"	Q8TD43	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000119121	TRPM6	"CHAK2, FLJ22628, HOMG, HSH"	"Transient receptor potential cation channel subfamily M member 6"	Q9BX84	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000092439	TRPM7	"CHAK1, LTRPC7, TRP-PLIK"	"Transient receptor potential cation channel subfamily M member 7"	Q96QT4	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"
ENSG00000111199	TRPV4	"CMT2C, OTRPC4, TRP12, VR-OAC, VRL-2, VROAC"	"Transient receptor potential cation channel subfamily V member 4"	Q9HBA0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Voltage-gated ion channels"
ENSG00000154743	TSEN2	"MGC2776, SEN2, SEN2L"	"TRNA splicing endonuclease subunit 2"	Q8NCE0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000170892	TSEN34	"LENG5, SEN34, SEN34L"	"TRNA splicing endonuclease subunit 34"	Q9BSV6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106025	TSPAN12	"NET-2, TM4SF12"	"Tetraspanin 12"	O95859	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000156298	TSPAN7	"A15, CD231, DXS1692E, MRX58, MXS1, TALLA-1, TM4SF2"	"Tetraspanin 7"	P41732	"CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000128881	TTBK2	"KIAA0847, SCA11"	"Tau tubulin kinase 2"	Q6IQ55	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000155657	TTN	"CMD1G, CMH9, CMPD4, FLJ32040, LGMD2J, MYLK5, TMD"	Titin	Q8WZ42	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000104723	TUSC3	"MGC13453, MRT7, N33, OST3A"	"Tumor suppressor candidate 3"	Q13454	"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000107815	TWNK	"C10orf2, FLJ21832, IOSCA, PEO, PEO1, TWINKLE, TWINL"	"Twinkle mtDNA helicase"	Q96RR1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000105397	TYK2	JTK1	"Tyrosine kinase 2"	P29597	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000130985	UBA1	"A1S9T, CFAP124, GXP1, POC20, UBE1, UBE1X"	"Ubiquitin like modifier activating enzyme 1"	P22314	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000077721	UBE2A	"HHR6A, RAD6A, UBC2"	"Ubiquitin conjugating enzyme E2 A"	P49459	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000215218	UBE2QL1	FLJ25076	"Ubiquitin conjugating enzyme E2 Q family like 1"	A1L167	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000077152	UBE2T	"FANCT, HSPC150"	"Ubiquitin conjugating enzyme E2 T"	Q9NPD8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000114062	UBE3A	"ANCR, AS, E6-AP, EPVE6AP, FLJ26981, HPVE6A"	"Ubiquitin protein ligase E3A"	Q05086	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000151148	UBE3B		"Ubiquitin protein ligase E3B"	Q7Z3V4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000159459	UBR1		"Ubiquitin protein ligase E3 component n-recognin 1"	Q8IWV7	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000154277	UCHL1	"PARK5, PGP9.5, Uch-L1"	"Ubiquitin C-terminal hydrolase L1"	P09936	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000175564	UCP3	SLC25A9	"Uncoupling protein 3"	P55916	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000109775	UFSP2	"C4orf20, FLJ11200"	"UFM1 specific peptidase 2"	Q9NUQ7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000241635	UGT1A1	"GNT1, UGT1, UGT1A"	"UDP glucuronosyltransferase family 1 member A1"	P22309	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000244474	UGT1A4	"HUG-BR2, UGT1D"	"UDP glucuronosyltransferase family 1 member A4"	P22310	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000276043	UHRF1	"FLJ21925, ICBP90, Np95, RNF106, TDRD22"	"Ubiquitin like with PHD and ring finger domains 1"	Q96T88	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000147854	UHRF2	"MGC33463, NIRF, RNF107, TDRD23, URF2"	"Ubiquitin like with PHD and ring finger domains 2"	Q96PU4	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000168038	ULK4	"FAM7C1, FLJ20574, REC01035"	"Unc-51 like kinase 4"	Q96C45	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000114491	UMPS		"Uridine monophosphate synthetase"	P11172	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000110057	UNC93B1	UNC93	"Unc-93 homolog B1, TLR signaling regulator"	Q9H1C4	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000076248	UNG	"DGU, HIGM4, UDG, UNG1, UNG2"	"Uracil DNA glycosylase"	P13051	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100024	UPB1	BUP1	"Beta-ureidopropionase 1"	Q9UBR1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000100373	UPK3A	UPK3	"Uroplakin 3A"	O75631	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000140740	UQCRC2	"QCR2, UQCR2"	"Ubiquinol-cytochrome c reductase core protein 2"	P22695	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000159650	UROC1	"FLJ31300, HMFN0320"	"Urocanate hydratase 1"	Q96N76	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000126088	UROD		"Uroporphyrinogen decarboxylase"	P06132	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000188690	UROS		"Uroporphyrinogen III synthase"	P10746	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
